sentence,intent,,,,
"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",0,,,,
가족들한테 돈 빌릴 상황이 아니야.,0,,,,
가족들한테 말하기가 너무 창피해.,0,,,,
가족한테 말한다면 난 정말 죽을거야 이제.,0,,,,
가지튀김에 대해 어떻게 생각해요?,0,,,,
가지튀김이 맛있어서 또 먹고 싶네요.,0,,,,
가지 튀김은 어때요?,0,,,,
가지 튀김 만드는 법 좀 알려줄 수 있어?,1,,,,
가지된장찜 만드는 방법 좀 가르쳐줄래?,1,,,,
가지쇠고기볶음 만드는 방법 좀 가르쳐줄래?,1,,,,
가지와 마른새우 무침 어떻게 만들어야 해?,1,,,,
가지와 마른새우무침 황금레시피 공유해줄래?,1,,,,
가츠동 맛있게 만드는 방법 좀 알려주세요! 돈까스 눅눅해지는 게 싫어.,1,,,,
가츠동 맛있게 만드는 법 알고 싶어,1,,,,
간식 먹고 진정하고 있어.,0,,,,
간장게장 맛있게 만드는 방법 좀 알려줄래?,1,,,,
간장떡볶이 만드는 방법 좀 가르쳐줄래?,1,,,,
간장새우 만드는 법 알려줄래?,1,,,,
갈릭 브레드 만드는 법 좀 알려줄 수 있어?,1,,,,
갈비 구이 어떻게 만들어야 맛있어?,1,,,,
갈비구이 황금레시피 공유해줄래?,1,,,,
갈비떡볶이 만드는 방법 좀 가르쳐줄래?,1,,,,
이런 갈비찜 레시피는 어때요?,0,,,,
갈비찜 레시피 부탁드립니다.,1,,,,
갈비찜 레시피 알려줄래요?,1,,,,
갈비찜 레시피가 필요해요.,1,,,,
갈비찜 만드는 방법 알려주세요.,1,,,,
갈비찜 만드는 방법 좀 알려줘,1,,,,
갈비찜 만드는 법 좀 알려주세요.,1,,,,
갈비찜 만드는 법 좀 알려줄 수 있을까?,1,,,,
갈비찜 만드는 법을 알고 싶어요.,1,,,,
갈비찜 맛있게 만드는 법 알려줘,1,,,,
갈비찜 맛있게 만드는 법 좀 가르쳐줘.,1,,,,
갈비찜 맛있게 만드는 법 좀 알려줄래?,1,,,,
갈비찜 어떻게 만들어요?,1,,,,
갈비찜 요리법 좀 알려주시겠어요?,1,,,,
갈비찜 요리법을 알고 싶어요.,1,,,,
갈비찜 요리하는 방법 좀 가르쳐주세요.,1,,,,
갈비찜 황금 레시피 좀 알려줄래?,1,,,,
갈비찜 황금레시피 좀 알려줘,1,,,,
갈비찜은 어떻게 만들어야 하나요?,1,,,,
갈비탕 깊은 맛 내는 방법이 뭐야? 밖에서 사 먹는 맛 내고 싶어.,1,,,,
갈비탕 만드는 방법 좀 가르쳐줄래?,1,,,,
갈비탕 만드는 법 알려줄래?,1,,,,
갈비탕 맛있게 만드는 법 좀 알려줄래?,1,,,,
갈비탕 어떻게 만들면 좋을까?,1,,,,
갈비탕 어떻게 만들어야 해?,1,,,,
갈치 무조림 황금 레시피 좀 알려줄래?,1,,,,
갈치무조림 황금레시피 좀 공유해줘.,1,,,,
갈치조림 맛있게 만드는 법 좀 알려줄래?,1,,,,
갈치조림 황금레시피 좀 알려줘,1,,,,
"감기 때문에 너무 힘든데도 기획안 제출하려고 밤 샜는데, 오늘 잘못 된 부분만 지적당하고. 너무 스트레스 받는다.",0,,,,
감바스 맛있게 만드는 법 공유해줘,1,,,,
감바스 알 아히요 맛있게 만드는 법 좀 알려줄래?,1,,,,
감바스 황금레시피 좀 알려줘,1,,,,
감자 고추채 볶음 황금 레시피 좀 알려줄래?,1,,,,
감자 샐러드 만드는 법 좀 알려줄 수 있어?,1,,,,
감자 수제비 맛있게 만드는 방법 좀 알려줘.,1,,,,
감자 조림 황금 레시피 좀 공유해줄래?,1,,,,
감자 탕 황금 레시피 좀 알려줘.,1,,,,
감자고추채볶음 맛있게 만드는 법 좀 알려줘.,1,,,,
감자국수 황금레시피 공유해줄래?,1,,,,
감자그라탕 맛있게 만드는 법 좀 알려줘.,1,,,,
감자떡 맛있게 만드는 방법 알려줘,1,,,,
감자수제비 맛있게 만드는 법 알려줄래?,1,,,,
감자수프 만드는 방법 좀 가르쳐줄래?,1,,,,
감자조림 맛있게 만드는 법 좀 알려줄래?,1,,,,
감자조림 맛있게 만드는 법 좀 알려줘.,1,,,,
감자탕 만드는 방법 좀 알려줄래?,1,,,,
감자탕 맛있게 만드는 법 알려줘,1,,,,
감자탕 맛있게 만드는 법 좀 알려줄래?,1,,,,
감자탕 맛있게 만드는 법 좀 알려줘.,1,,,,
감자탕 어떻게 만들면 맛있게 할 수 있을까?,1,,,,
갑자기 권태기가 왔는지 서로 시간을 갖자는 거야. 그러더니 헤어지자고 통보가 오더라고.,0,,,,
갑자기 그랬어 갑자기. 병원에 갔었는데 나이도 있고 해서 가망이 없대 지금.,0,,,,
갑자기 나한테 영상을 소개하면 어떡해. 내 이야기 좀 들어줘.,0,,,,
갑자기 내 건강은 왜 걱정해? 난 괜찮거든?,0,,,,
갑자기 내가 일방적으로 차였어.,0,,,,
갑자기 내린 비로 집 밖이 물바다래.,0,,,,
갑자기 목줄을 끊고 달아나 버렸어.,0,,,,
갑자기 밥 먹다가 쓰러지는 거야. 응급실로 데려갔더니 의사선생님이 마음의 준비를 하라고 하더라고.,0,,,,
갑자기 병에 걸렸나봐. 너무 슬퍼.,0,,,,
갑자기 비가 많이 와서 우리 동네가 고립됐어. 그러면서 갇히게 됐어.,0,,,,
갑자기 심장병으로 떠났어.,0,,,,
갑자기 쓰러지더니 응급실에서 결국은 죽었어.,0,,,,
"갑자기 아파서 응급실 다녀오고 나서 조금 괜찮아졌는데, 갑자기 떠났어.",0,,,,
갑자기 아프게 된 건 아니고 시름시름 앓았었는데 그저께 입원해서 나아지는가 싶더니 결국엔 떠났어.,0,,,,
갑자기 아픈 건 아니고. 나이가 많이 먹었잖아. 그래서 자다가 그냥 세상을 떠난 것 같아.,0,,,,
갑자기 엘리베이터가 멈췄어. 불도 꺼졌어.,0,,,,
"갑자기 일어난 지진 때문에 사람들이 여기저기 넘어졌어. 하지만 크게 다친 사람들이 없어서, 정말 다행이었어.",0,,,,
"갑자기 전화가 와서 헤어지자고 하더라고.	",0,,,,
갑자기 줄이 끊어졌어. 그래서 해피가 뛰어나갔어.,0,,,,
갑자기 지진이 난거야! 너무 놀라서 튀어나왔지!,0,,,,
갑자기 차가 나한테 들이박는 거야.,0,,,,
갑자기 쾅 하더니 멈춰버렸어.,0,,,,
갑자기 폭탄이 터지잖아. 난 전쟁 난 줄 알았어.,0,,,,
갑자기 해피 목줄이 끊어져 가지고 해피가 도망갔어.,0,,,,
갑자기 해피가 목줄을 끊고 도망갔거든.,0,,,,
"갑자기 회사에서 전화 와서 새로운 업무를 준다고 해서 너무 화가 나고 스트레스 받았는데, 너한테 이야기하고 나니까 마음이 좀 풀렸어.",0,,,,
갑자기는 아니지만 나이가 많이 들어서 노환으로 떠난거야.,0,,,,
갓 김치 어떻게 만들어야 맛있어?,1,,,,
갓김치 황금레시피 좀 공유해줄래?,1,,,,
"강남 쪽에 친구랑 내일 약속한 약속 있는데 요즘 바이러스가 막 터지고 있잖아 그래서 나 너무 무서워 나갈까 말까?	",0,,,,
"강남에서 보기로 했는데, 요즘 바이러스 되게 심각하잖아. 불안해진다.",0,,,,
강남이야. 거기서 확진자가 나왔다..,0,,,,
강아지들이 밥도 못 먹고 병에 걸려서 그렇게 있더라고!,0,,,,
갖고 싶었던 향수라서 기분 좋았는데 너 때문에 안좋아졌어.,0,,,,
갖자고 해가지고. 근데 알고보니 새로운 사람 생겼나봐.,0,,,,
"같이 밥 먹던 친구가 발목을 다쳤는데, 다행히 큰 부상은 아닌 거 같아.",0,,,,
같이 사는 집에서 청소를 너무 안해. 청소는 나 혼자 하는 기분이야. 음식물 쓰레기도 안 버리고 아후 정말 짜증나.,0,,,,
같이 사는게 돈도 절약되고 좋거든.,0,,,,
같이 일하는 친구가 병원에 갔다왔는데 허리 디스크라고 그랬대. 그리고 주사를 놔줬는데 너무 아팠대.,0,,,,
개 힘들어 진짜. 이놈의 화장실은 청소를 해도 곰팡이가 사라지질 않아!,0,,,,
걍 그렇지 뭐.,0,,,,
걔가 나 싫은가 봐.,0,,,,
걔가 먼저 시간을 갖자고 했거든. 근데 그 사이에 새로운 사람이 생긴 거 같네?,0,,,,
걔가 시간이 별로 없다그랬는데 너무 고민된다.,0,,,,
걔네들도 나랑 비슷한 처지야.,0,,,,
걔는 항상 음식을 먹고 치우지를 않아.,0,,,,
걔도 나도 청소를 안해.,0,,,,
걔랑 싸운거 알잖아. 걔도 나한테 질렸나봐. 그래서 그냥 내가 결국 헤어지자고 했어.,0,,,,
거기 안에 음식물 쓰레기가 있었는데 그게 엄청 상했어. 아.,0,,,,
거의 그 정도인 것 같애. 나도 내가 너무 자랑스러워.,0,,,,
"거의 그런 경우가 대부분이지만 기분이 안 좋았어.	",0,,,,
"거의 그렇지. 뭐, 이젠 그냥 결과만 기다리면 돼. 결과가 좋았으면 좋겠다.",0,,,,
거의 매번 그러는 거 같애.,0,,,,
"거의 매일 드셔서 건강도 걱정되고, 다치구, 그러니 너무 속상하고 힘들어.",0,,,,
"거의 매일이 야근이고 퇴근하고 나서도 또 연락이 오고. 왜이러지? 아, 진짜 너무한 거 아니야? 쉬는 시간은 줘야될 거 아니야!",0,,,,
거의 맨날 먹어. 일주일에 하루 이틀 빼곤 거의 술이야!,0,,,,
거의 선수급이래.,0,,,,
거의 일주일 내내 드셔. 적게는 5일 많게는 일주일 내내.,0,,,,
거진 바닥을 치고 있어. 어떻게 해야할지 속상해. 팔아야하는지.,0,,,,
걱정하실까 봐 말씀 못 드렸어. 이번에 그냥 조용히 했어. 맨날 내 걱정이시니까. 더 잘해야겠어.,0,,,,
걱정해줘서 고마워. 정밀검진받아볼게.,0,,,,
걸렸는데도 기획안 다시 써오라고 하는 사람들인데. 몰래몰래 쉬면서 일할게.,0,,,,
겉절이 맛있게 만드는 방법 알려줘,1,,,,
게살 스프 만드는 법 좀 공유해줘,1,,,,
게살 파스타 황금레시피 좀 알려줘,1,,,,
겠어. 오늘부터 운동 시작해보려고. 고마워.,0,,,,
결국 나 헤어졌어.,0,,,,
결국은 지켜보다가 팔아야겠지.,0,,,,
결국은 집에서 휴식을 취하면서 영화도 보고 맛있는 거나 해먹어야겠어.,0,,,,
결혼식을 어떻게 미루니? 하. 마스크 하고 가야겠다.,0,,,,
경기가 안 좋아서 바닥을 치고 있어.,0,,,,
경기도에 있는 유기견 보호소였는데 그곳에 버려지는 아이들이 너무 많대.,0,,,,
경기도에 있는 유기견 보호소였는데 아이들의 생활이 너무 처참했어.,0,,,,
"경기도에 있는 유기견 보호소였는데, 사람들이 너무 많이 버려대서 아이들을 더 받을 수 없대. 그곳에서 생활하는 아이들도 너무 지저분하고.",0,,,,
경기도에 있는 유기견보호소였는데 그 곳 아이들이 너무 처참했어.,0,,,,
경찰 분들도 힘드실 거야.,0,,,,
경찰들 고생했어. 잘 돼야 될텐데.,0,,,,
경찰들 제대로 하는 일도 없는데 짭새라고 불러도 괜찮지 않아?,0,,,,
경황이 없어서 아직 장례까지는 생각 못했어. 아마 아빠가 준비하실 거야.,0,,,,
계단에서 넘어져서 생명에는 지장은 없는데 많이 다치셨어.,0,,,,
계단에서 넘어졌대.,0,,,,
계단에서 넘어지셨어. 너무 취하셔가지구.,0,,,,
계단에서 넘어지시면서 허리만 다치고 다른 곳은 다치진 않아서 괜찮으셔. 하지만 허리 치료 때문에 당분간 병원에 입원해 계셔야 해.,0,,,,
계란말이 만드는 방법 좀 가르쳐줄래?,1,,,,
계란말이 만드는 법 알려줘,1,,,,
계란말이 맛있게 만드는 법 좀 가르쳐줘.,1,,,,
계란말이 맛있게 만드는 법 좀 알려줄래?,1,,,,
계란말이 황금레시피 좀 알려줘,1,,,,
계란말이주먹밥 맛있게 만드는 법 좀 알려줘.,1,,,,
계란찜 만드는 방법 좀 가르쳐줄래?,1,,,,
계란찜 어떻게 만들면 좋을까?,1,,,,
계속 내려가고만 있지. 계속 손해만 봐.,0,,,,
계속 늦잠자고 많이 누워있으니까 점점 처지는 것 같아.,0,,,,
계속 다녀야지 어떡하겠어. 회사 그만두면 먹고 살 길이 없잖아.,0,,,,
계속 다녀야지 어쩌겠어. 지금 이직할 수 있는 회사도 마땅히 없어.,0,,,,
계속 다녀야지. 계약직 여직원은 늘 이런 식인 것 같아.,0,,,,
계속 다니기는 해야 하는데 일이 너무 많은 것 같아.,0,,,,
계속 다닐 수 있어.,0,,,,
계속 떨어지네? 참 걱정이야.,0,,,,
계속 말도 안 되는 상황이 생기고 그래서 이직을 고려 중이야.,0,,,,
계속 야근도 하고 점심에 쉬는 시간도 없이 일하고 있어. 근데 퇴근 시간까지 전화를 한다는 건 너무 심하지 않니?,0,,,,
계속 의자에만 앉아 있으니까 허리가 더 아프다. 병원에 가 봐야겠지?,0,,,,
계속 재택 근무만 하고 집에 있으니까 기분이 너무 안 좋아.,0,,,,
계속 좋게 지내려면 그 방법도 괜찮은 것 같아.,0,,,,
계속 진행해 온 프로젝트가 잘 풀리지 않는 것 같아. 그래서 마음이 우울해!,0,,,,
"계속 집에만 있다 보니까 많이 무기력해진 거 같아.	",0,,,,
"계속 카톡 해보면 다 와 간다는데, 왜 계속 안 올까? 거짓말 하는 것 같아.",0,,,,
계약 기간이 남아 있어서 따로 살 수가 없어. 이렇게 점점 더 사이가 안 좋아지는데 어떡하지?,0,,,,
고구마그라탱 황금레시피 공유해줄래?,1,,,,
고구마밥 맛있게 만드는 방법 알고 싶어,1,,,,
고구마빵 만드는 법 알려줘,1,,,,
고구마줄기볶음 맛있게 만드는 법 좀 알려줘.,1,,,,
고들빼기김치 만드는 방법 좀 가르쳐줄래?,1,,,,
고등어 살튀김과 소스 황금 레시피 좀 알려줘.,1,,,,
고등어구이 맛있게 만드는 방법 알려줘,1,,,,
고등어구이 맛있게 만드는 법 알려줘,1,,,,
고등어김치조림 만드는 방법 좀 가르쳐줄래?,1,,,,
고등어김치찜 황금레시피 좀 알려줘,1,,,,
고등어된장조림 만드는 방법 좀 가르쳐줄래?,1,,,,
고등어무조림 황금레시피 공유해줄래?,1,,,,
고등어조림 어떻게 만들면 좋을까?,1,,,,
고등학교 동창이 소개해 줬어. 처음 만나서 서로 첫눈에 반했거든.,0,,,,
고등학교 동창이니까 안 지는 진짜 오래됐지.,0,,,,
고등학교 동창이라서 그래도 좋게 지내려고 생각하고 있는데 청소때문에 안맞으니까 자주 싸워서 속상하기도 하고 어떻게 해야될 지 모르겠어.,0,,,,
고등학교 동창이었는데 나도 걔가 그렇게 청소를 안 하는지는 몰랐어.,0,,,,
고등학교 동창이었는데 이렇게까지 안 맞을 줄 몰랐지.,0,,,,
고등학교 동창이었어. 3년 내내 같이 붙어다녔어. 그 정도로 친했었다고.,0,,,,
고등학교 동창이었어. 그때는 이 아이가 이렇지 않았거든.,0,,,,
고등학교 동창이었어. 그때는 이런 줄 몰랐지.,0,,,,
고등학교 동창이었어. 그때는 이렇게 이기적인 아이가 아니었거든.,0,,,,
고등학교 동창이었어. 그때는 이렇게까지 성격이 그러지 않았거든.,0,,,,
고등학교 동창인데 그렇게 친한 사이는 아니었거든.,0,,,,
고등학교 동창인데 이렇게 더러울 거라고는 생각을 못했지. 같이 살아보니까 정말 힘드네.,0,,,,
"고등학교 때 알던 친구인데, 방을 이렇게 지저분하게 사용할 줄 몰랐어. 알았다면 룸메이트 안 했을 거야.",0,,,,
"고등학교 때 친한 친구였는데, 이러다 멀어질 거 같아.",0,,,,
"고등학교 때부터 알던 친구인데 방을 이렇게 지저분하게 사용할 줄 몰랐어 알았다면 같이 안 살았을 거야.	",0,,,,
"고등학교 때부터 친구였는데, 그 때는 깔끔했던 거 같았어. 이렇게까지 지저분한지 몰랐어.",0,,,,
"고등학교 친구였는데, 이 정도일 줄은 몰랐지. 같이 사는데 스타일이 너무 안 맞는 거 같다.",0,,,,
고등학교때부터 친구인데 이렇게 청소 안하고 막 이런앤줄은 몰랐지.,0,,,,
고딩때부터 알던 친군데 그땐 이렇게까지 더러울줄은 몰랐지!,0,,,,
고마워 이모카.,0,,,,
고마워! 짱이야 너 진짜. ,0,,,,
고마워. 걱정해줘서. 잠시 시간 되면은 나갔다 올려고.,0,,,,
고마워. 그래도 내 잘못이 있으니까 혼났겠지. 내 잘못이 없었으면 혼나지도 않았을거야.,0,,,,
고마워. 그래도 너밖에 없다.,0,,,,
고마워. 나도 힘낼게. 너도 슬프더라도 울지 마.,0,,,,
고마워. 내가 힘들 때마다 너한테 자주 연락하고 할게.,0,,,,
고마워. 너 덕분에 그래도 조금 낫다. 고마워.,0,,,,
고마워. 너 밖에 없다.,0,,,,
고마워. 너도 같이 해볼래?,0,,,,
고마워. 너한테 꼭 얘기할게. 이제 마음이 좀 편해진다.,0,,,,
고마워. 니가 위로해줘서 조금은 힘이 나.,0,,,,
고마워. 다시 힘내서 열심히 할게.,0,,,,
고마워. 덕분에 힘이 난다.,0,,,,
고마워. 부모님께는 아직 말씀 못 드렸어.,0,,,,
고마워. 빨리 이거 해봐야겠다.,0,,,,
고마워. 아 이제 다시는 애완견 못 키울 거 같애.,0,,,,
고마워. 앞으로 나도 주의해야겠다.,0,,,,
고마워. 앞으로는 산책 자주 시켜줘야겠다.,0,,,,
고마워. 이모카.,0,,,,
고마워. 이제 다시는 못 키우겠지? 너무 슬프다.,0,,,,
고마워. 좋은 집으로 부탁해.,0,,,,
고마워. 해피는 정말 좋은 곳으로 갔을거야. 그치?,0,,,,
고마워. 혼자 견뎌볼게 한번.,0,,,,
고맙다 그렇게 얘기해줘서. 너밖에 없네.,0,,,,
고사리 만드는 법 알려줘,1,,,,
"고생이 많지, 내가 정말.",0,,,,
고생이지. 한 30분 기다린 거 같애.,0,,,,
고약한 냄새가 방향제로 없어질 수 있겠지?,0,,,,
고추부각 만드는 방법 좀 가르쳐줄래?,1,,,,
고추잡채 만드는 법 좀 알려줄 수 있을까?,1,,,,
고추잡채 맛있게 만드는 법 알고 싶어,1,,,,
고추잡채 맛있게 만드는 법 좀 알려줄래?,1,,,,
고추잡채 어떻게 만들면 좋을까?,1,,,,
고추잡채 황금레시피 좀 알려줘,1,,,,
고추장스파게티 만드는 방법 좀 가르쳐줄래?,1,,,,
고추장아찌 맛있게 만드는 법 좀 알려줘.,1,,,,
고추장찌개 맛있게 만드는 방법 알고 싶어,1,,,,
고추장찌개 어떻게 만들면 좋을까?,1,,,,
고추장찌개 황금레시피 좀 알려줘,1,,,,
고춧기름 황금레시피 공유해줄래?,1,,,,
골뱅이 무침 어떻게 만들어야 맛있어?,1,,,,
골뱅이무침 맛있게 만드는 방법 알려줘,1,,,,
골뱅이무침 황금레시피 공유해줄래?,1,,,,
골뱅이소면무침 만드는 법 알려줘,1,,,,
곰탕 만드는 법 좀 가르쳐줘.,1,,,,
곰탕 맛있게 만드는 방법 알려줘,1,,,,
곰탕 황금레시피 좀 공유해줄래?,1,,,,
곰팡이 제거제 괜찮은 거야? 한 번 써볼까?,0,,,,
곰팡이 제거제도 있었어? 그럼 사야지.,0,,,,
곰팡이 제거제로 오늘 청소를 했어. 이제 괜찮아지기를 바래야지?,0,,,,
곰팡이 제거제를 구입했는데 아직은 효과가 안 나고 있어.,0,,,,
곰팡이 제거제를 사용해봤는데도 없어지지를 않아.,0,,,,
곰팡이 제거제를 써도 똑같애. 아무리 청소를 해도 없어지질 않아.,0,,,,
곰팡이가 없어지잖아.,0,,,,
곰팡이를 없애는 데 뭐 좋은 수가 없을까?,0,,,,
곰팡이제가 과연 효과가 있대?,0,,,,
곱창 만드는 법 좀 알려줄 수 있을까?,1,,,,
곱창전골 맛있게 만드는 법 좀 알려줘.,1,,,,
공동으로 사용하는 화장실인데 그렇게 해놓으면 남의 피해를 보는 건데 왜 그런지 모르겠어 사람들.,0,,,,
"공동으로 쓰는 공간인데 왜 그렇게 쓰나 몰라, 진짜.",0,,,,
공채 마지막 회사라 다른데도 갈데가 없어.,0,,,,
공채로 볼 수 있는 마지막 회사였어. 그래서 정말 많이 노력했거든.,0,,,,
과일샐러드 황금레시피 공유해줄래?,1,,,,
과장님한테 한번 이야기한 적은 있는데 그냥 힘내라고만 하지 별로 위로가 안돼.,0,,,,
"관리하시는 분 아까 퇴근하셨대.	",0,,,,
관리하시는 분께 가서 화장실 좀 치워달라고 말씀드려야겠어.,0,,,,
관리하시는 분께 말씀드리고 다른 층으로 가자.,0,,,,
관리하시는 분께 말씀드리러 가려고. 나는 손도 못 대겠어.,0,,,,
관리하시는 분은 무슨 죄냐고. 어떻게 말씀드려야 될지 모르겠어.,0,,,,
관자 맛있게 만드는 방법 알려줄래?,1,,,,
광어회 맛있게 만드는 방법 알려줄래?,1,,,,
괜찮다면 써볼까?,0,,,,
괜찮아. 다음번엔 절대로 그렇게 하지 않을 거야.,0,,,,
괜찮아. 마음은 진정이 됐어. 지금은 범인을 찾아야 되겠어.,0,,,,
괜찮아. 물어봐줘서 고마워.,0,,,,
괜찮아. 뭐 한두 번도 아닌데. 그냥 먹지 뭐.,0,,,,
괜찮아. 안 마셔도 돼.,0,,,,
괜찮아. 지금 집에 가는 버스 안에서 연락한 거야.,0,,,,
괜찮아질까?,0,,,,
괜찮으셔. 하지만 병원에 며칠 계셔야 한대.,0,,,,
괜찮은데 아직도 조금 무서워.,0,,,,
"괜찮은데, 다친 애는 아직까지도 아프대.",0,,,,
괜찮진 않았지.,0,,,,
구매하고 싶어. 좋은 거 있으면 추천해줘.,0,,,,
구매한 노트북이 엄청 늦게 와서 기다리고 있었는데 오늘 도착한거야. 너무 기뻐.,0,,,,
구매해야겠어. 효과가 좋은걸로 소개 좀 시켜줘.,0,,,,
구운 감자 만드는 법 좀 알려줄래?,1,,,,
구운 감자와 도미 구이 어떻게 만들어야 해?,1,,,,
구운 마늘 새우 맛있게 만드는 법 알려줄래?,1,,,,
구운 아스파라거스 맛있게 만들려면 어떻게 해야 해?,1,,,,
구운 야채 만드는 법 좀 공유해줘,1,,,,
구운 야채 맛있게 만드는 법 좀 알려줄래?,1,,,,
구운 연어 만드는 법 좀 알려줄 수 있어?,1,,,,
구운 연어 맛있게 만드는 법 좀 알려줄래?,1,,,,
구운 치킨 맛있게 만드는 법 좀 알려줄래?,1,,,,
구운감자와 도미구이 만드는 법 좀 알려줄래?,1,,,,
국물닭발 맛있게 만드는 방법 알고 싶어,1,,,,
국수 계란말이 어떻게 만들어야 맛있어?,1,,,,
국수 전골 황금 레시피 좀 알려줄래?,1,,,,
국수계란말이 황금레시피 좀 공유해줄래?,1,,,,
국수전골 맛있게 만드는 법 좀 알려줘.,1,,,,
군대도 기다렸어서 3년이나 만났지.,0,,,,
군만두 만드는 법 좀 알려줄 수 있을까?,1,,,,
군밤 만드는 법 좀 알려줄 수 있을까?,1,,,,
굴 깍두기 맛있게 만드는 방법 좀 가르쳐줘.,1,,,,
굴 만드는 법 좀 알려줄 수 있을까?,1,,,,
굴깍두기 만드는 방법 좀 가르쳐줄래?,1,,,,
궁금하지? 그래서 나도 쫓아가봤지.,0,,,,
권태기가 온 거 같다고 시간을 갖자고 하더라구. 그런데 새로운 여자가 생겼어.,0,,,,
권태기가 와서 그만 만나자 하더라.,0,,,,
"권태기가 왔다고 변명하더니 새로운 남자 만나고 있더라고. 너무 화가 났지만, 그냥 모른척 했어.",0,,,,
권태기가 왔다고 잠깐 시간을 갖자고 했거든? 근데 알고 보니까 새로운 사람이 생긴 거야.,0,,,,
"권태기가 왔다고 헤어지자더니, 알고 봤더니 새로운 사람이 생긴 거였어.",0,,,,
권태기가 왔다더니 지나고 생각해보니까 다른 여자가 생긴 거 같아.,0,,,,
권태기가 왔다던데 아무래도 다른 사람 생겼나봐.,0,,,,
권태기가 왔다며 나한테 통보를 하더라. 근데 알고보니 여자가 있었어.,0,,,,
"권태기라고 말하는데, 바람 피고 있더라고.",0,,,,
"권태기라고 생각했는데, 다른 사람 있었나봐.",0,,,,
"권태기라고 해서 서로 시간을 갖고 있었는데, 결국 헤어졌어.",0,,,,
권태기라는데 다른 여자가 생긴 것 같아.,0,,,,
권태기라는데 바람 난 것 같아.,0,,,,
권태기래. 잠깐 시간 갖자더니 금방 헤어지자고 연락이 온 거야.,0,,,,
권태기였나봐. 맨날 싸우고.,0,,,,
권태기지 뭐.,0,,,,
귀찮아서 안 할것 같긴한데 고마워.,0,,,,
규동 만드는 법 알려줄래?,1,,,,
규동 맛있게 만드는 레시피 좀 공유해줄 수 있니?,1,,,,
그 기회를 놓친 게 아직도 후회돼.,0,,,,
그 기회를 놓친 게 정말 아쉬워.,0,,,,
그 길거리에 유기견들이 막 방치되어있는 그런 내용이었어.,0,,,,
그 놈이 욕 먹을 짓을 한다고. 자꾸 나한테만 그러잖아.,0,,,,
그 누구 누가 화장실에다 토하고 안 치우고 가 버렸어.,0,,,,
